0,0,2,1,1,0,1,0,0,1,62438,2026.111412,2.660897783,1.168199027,1100.449973,-1460,-2047,32.80692266,-8
1,1,1,2,0,1,0,1,1,0,74701,2424.04543,2.888047593,1.168199027,1203.154137,1460,2047,32.96917253,8
1,0,0,4,0,0,0,1,2,0,63651,1667.71179,3.825327511,1.650655022,1228.663755,-607,-1312,32.3580786,-13
0,1,4,0,1,1,1,0,0,2,65887,1726.296943,3.379912664,1.781659389,946.0873362,607,1312,31.75545852,13
0,0,0,3,1,0,0,0,0,1,45043,1425.411392,3.32278481,1.550632911,1075.943038,-732,-68,32.56329114,1
1,1,3,0,0,1,1,1,1,0,56425,1785.601266,3.544303797,1.265822785,1193.411392,732,68,32.1835443,-1
0,0,0,4,0,0,0,0,0,1,26374,1074.297352,3.299389002,0.610997963,801.5641548,-1149,-3053,29.85743381,7
1,1,4,0,1,1,1,1,1,0,44806,1825.09165,3.258655804,1.262729124,1368.1222,1149,3053,32.91242363,-7
1,0,0,2,1,0,0,0,0,1,33141,1216.927785,3.268053856,0.771113831,906.4700122,111,-183,28.97184823,-13
0,1,2,0,0,1,1,1,1,0,62530,2296.083231,3.341493268,1.7625459,1328.709914,-111,183,32.9375765,13
1,1,3,0,0,1,1,1,1,0,56820,2354.41989,3.480662983,0.953038674,1525.127072,2406,5170,35.67679558,76
0,0,0,3,1,0,0,0,0,1,37383,1549.019337,2.693370166,0.828729282,864.6712707,-2406,-5170,28.71546961,-76
0,1,4,0,0,1,1,1,1,0,46416,1685.811138,3.305084746,1.380145278,1239.464891,-1137,1027,34.83050847,-25
1,0,0,4,1,0,0,0,0,1,37108,1347.748184,3.232445521,0.83535109,941.7530266,1137,-1027,33.52300242,25
1,0,3,2,0,1,1,0,0,1,47052,1147.609756,3.56097561,1.682926829,1034.365854,1716,759,32.85365854,25
0,1,2,3,1,0,0,1,1,0,77451,1889.04878,3.634146341,1.682926829,1194.756098,-1716,-759,33.6097561,-25
1,0,1,2,0,0,0,0,0,1,37335,1282.255295,3.228391528,1.373783629,1007.793932,-1283,-1256,31.8374356,-87
0,1,2,1,1,1,1,1,1,0,49666,1705.758443,3.331425301,1.339439038,1274.136234,1283,1256,34.58500286,87
1,0,1,3,1,0,0,0,0,1,34392,1039.033233,3.564954683,1.419939577,984.6465257,-169,-1472,32.32628399,-46
0,1,3,1,0,1,1,1,1,0,52114,1574.441088,3.383685801,1.782477341,1312.622356,169,1472,38.67069486,46
0,0,3,2,1,0,1,1,1,0,63007,1676.461197,4.363636364,1.756097561,1268.86031,233,-925,35.86696231,-23
1,1,2,3,0,1,0,0,0,1,53056,1411.689579,3.272727273,2.128603104,947.7073171,-233,925,34.27050998,23
0,1,1,2,0,0,0,0,0,1,47636,1588.749305,3.168426904,1.86770428,1047.155086,-47,-218,34.95275153,6
1,0,2,1,1,1,1,1,1,0,50275,1676.764869,3.868816009,1.634241245,1271.913285,47,218,35.55308505,-6
1,1,4,0,1,1,1,1,1,0,83520,2288.219178,4.136986301,1.890410959,1300.328767,253,1151,36.16438356,16
0,0,0,4,0,0,0,0,0,1,50333,1378.986301,3.534246575,1.479452055,1003.561644,-253,-1151,35.28767123,-16
0,1,5,0,1,1,1,1,1,0,67590,1966.731329,4.306498545,1.891367604,1307.127061,1690,4203,34.33559651,74
1,0,0,5,0,0,0,0,0,1,53600,1559.650824,3.549951503,1.804073715,837.2822502,-1690,-4203,28.95247333,-74
